Trait,Score
ardent,1
alluring,1
detailed,1
result-oriented,1
admirable,1
amorous,1
fervent,1
forbearing,1
enthralling,1
anticipative,1
giving,1
communicative,1
nice,1
receptive,1
futurist,1
cordial,1
unorthodox,1
artsy,1
kindhearted,1
hospitable,1
pioneering,1
revolutionary,1
soft-spoken,1
terrific,1
marvellous,1
excellent,1
conciliatory,1
peacemaker,1
pacifist,1
anti-violence,1
anti-war,1
certain,1
sure,1
repentant,1
remorseful,1
penitent,1
humanitarian,1
tender,1
mild,1
benign,1
permissive,1
civil,1
happy,1
elaborate,1
results-driven,1
updated,1
attentive,1
conscientious,1
painstaking,1
transparent,1
inclusive,1
trendy,1
ambitious,1
calm,1
caring,1
curious,1
easygoing,1
efficient,1
encouraging,1
humorous,1
insightful,1
intuitive,1
joyful,1
loyal,1
nurturing,1
perceptive,1
pragmatic,1
professional,1
responsible,1
self-assured,1
self-disciplined,1
sensitive,1
unselfish,1
warm,1
courteous,1
integrity-driven,1
empowering,1
emotionally intelligent,1
perseverant,1
proactive,1
appreciative,1
solution-oriented,1
self-aware,1
resilient,1
mindful,1
fit,1
endurance,1
healthy,1
rested,1
well-nourished,1
playful,1
broad-minded,1
competent,1
discreet,1
empathic,1
farsighted,1
steady,1
colorful,1
undogmatic,1
aspiring,1
unfoolable,1
relaxed,1
methodical,1
extraordinary,1
debonair,1
sane,1
reverential,1
honorable,1
companionly,1
sexy,1
tractable,1
forceful,1
athletic,1
self-critical,1
self-defacing,1
sage,1
peaceful,1
lyrical,1
dramatic,1
sporting,1
shrewd,1
serious,1
clean,1
contemplative,1
knowledge,1
decent,1
secure,1
rational,1
planful,1
many-sided,1
accessible,1
observant,1
thorough,1
suave,1
idealistic,1
forthright,1
simple,1
deep,1
challenging,1
subtle,1
sentimental,1
constant,1
fun-loving,1
sharing,1
freethinking,1
elegant,1
venturesome,1
realistic,1
insouciant,1
teacherly,1
hearty,1
allocentric,1
self-denying,1
urbane,1
seraphic,1
educated,1
moderate,1
directed,1
daring,1
multi-leveled,1
nonauthoritarian,1
ebullient,1
leisurely,1
exciting,1
providential,1
hardworking,1
incisive,1
scrupulous,1
rustic,1
lovable,1
protean,1
solid,1
protective,1
,1
forecful,1
herioc,1
leaderly,1
masculine,1
manly,1
maticulous,1
pruposeful,1
self-sufficent,1
careful,1
fearless,1
glamorous,1
knowledgable,1
lucky,1
mannered,1
useful,1
warm-hearted,1
adorable,1
affluent,1
agile,1
appropriate,1
apt,1
astonished,1
auspicious,1
beautiful,1
blissful,1
bright,1
bugged,1
candid,1
cavalier,1
cheeky,1
chic,1
chirpy,1
committed,1
compelling,1
cool,1
cute,1
dainty,1
delightful,1
different,1
ecstatic,1
effective,1
elated,1
enchanting,1
even-tempered,1
excited,1
exultant,1
famous,1
fancy,1
fascinating,1
fashionable,1
favorable,1
flirtatious,1
fortunate,1
frank,1
free,1
gleaming,1
gleeful,1
green,1
grief-stricken,1
gripping,1
gutsy,1
handsome,1
hilarious,1
homely,1
important,1
influential,1
innocent,1
irresistible,1
jovial,1
jubilant,1
judicious,1
lavish,1
light,1
likable,1
lofty,1
magical,1
nervy,1
new,1
nimble,1
old-fashioned,1
ominous,1
opportunist,1
overjoyed,1
plain,1
poetic,1
powerful,1
precious,1
privileged,1
proper,1
pure,1
quaint,1
ready,1
real,1
relieved,1
rich,1
rugged,1
safe,1
saintly,1
slick,1
smooth,1
soft,1
successful,1
swift,1
tactical,1
thrilled,1
tranquil,1
truthful,1
unbiased,1
ungrudging,1
unique,1
vicarious,1
victorious,1
wealthy,1
wiry,1
worldly,1
yearning,1
young,1
expert,1
good,1
groovy,1
interesting,1
joyous,1
lively,1
sensational,1
wordy,1
slim,1
stocky,1
heavy,1
trim,1
blond,1
brunette,1
curly,1
frizzy,1
silver-haired,1
petite,1
exotic,1
stout,1
muscular,1
buff,1
towering,1
rosy,1
clear-eyed,1
amusing,1
artful,1
ascetic,1
boyish,1
breezy,1
businesslike,1
casual,1
chummy,1
circumspect,1
confidential,1
crisp,1
dreamy,1
driving,1
dry,1
earthy,1
folksy,1
formal,1
freewheeling,1
high-spirited,1
iconoclastic,1
maternal,1
modern,1
mystical,1
noncompetitive,1
paternalistic,1
physical,1
private,1
progressive,1
religious,1
sensual,1
solitary,1
unaggressive,1
unceremonious,1
unchanging,1
undemanding,1
unfathomable,1
unsentimental,1
able,1
fresh,1
pretty,1
accomplished,1
adhd,1
gabby,1
garrulous,1
punctilious,1
agnostic,1
glorious,1
amused,1
rawboned,1
aristocratic,1
haggling,1
hardy,1
harmonious,1
available,1
right,1
righteous,1
biter,1
hormonal,1
boundless,1
sagely,1
salient,1
sanguine,1
brotherly,1
immaculate,1
imperial,1
seductive,1
selective,1
changeable,1
self-confident,1
chaste,1
self-giving,1
civilised,1
inimitable,1
serene,1
coherent,1
comfortable,1
silent,1
silky,1
intrepid,1
introspective,1
simian,1
introverted,1
sisterly,1
consistent,1
contented,1
conversational,1
smiling,1
joking,1
spendthrift,1
credible,1
splendid,1
spunky,1
leader,1
stately,1
cuddly,1
lean,1
level,1
sterile,1
stimulating,1
light-hearted,1
likeable,1
dashing,1
lingering,1
dazzling,1
decorous,1
loudmouth,1
succinct,1
deferential,1
deliberate,1
supercilious,1
macho,1
mannerly,1
matronly,1
matter-of-fact,1
temperate,1
mercurial,1
motherly,1
tight,1
tireless,1
truculent,1
downtrodden,1
dreamer,1
nibbler,1
unbending,1
uncommitted,1
unconventional,1
nut,1
eminent,1
obsequious,1
enduring,1
ossified,1
exclusive,1
expansive,1
pacifistic,1
fabulous,1
verbose,1
visual,1
fantastic,1
perfect,1
performer,1
persevering,1
fighter,1
pert,1
fine,1
wholesome,1
pious,1
pleasing,1
welcoming,1
lover,1
old,1
exemplary,1
valuable,1
zesty,1
zippy,1
amazed,1
delighted,1
surprised,1
hyper,1
nonjudgemental,1
put-together,1
big-thinking,1
crebral,1
action oriented,1
fun loving,1
giggly,1
goal orientated,1
hard working,1
heart broken,1
high self esteem,1
risk-taking,1
honor bound,1
sacrificing,1
sharp-witted,1
kind hearted,1
straight laced,1
strong willed,1
loves challenge,1
thick skinned,1
embraces change,1
faith in self,1
perserverant,1
perseveres,1
warm hearted,1
well grounded,1
cautious,1
disrespectful,-1
pessimistic,-1
finicky,-1
coward,-1
defiant,-1
subjective,-1
rebellious,-1
undeserving,-1
unjust,-1
illogical,-1
fascist,-1
deceitful,-1
sullen,-1
prodigal,-1
discourteous,-1
loud,-1
radical,-1
shy,-1
bashful,-1
timid,-1
inattentive,-1
late,-1
tardy,-1
treacherous,-1
slow,-1
bothersome,-1
inadequate,-1
inconsiderate,-1
thoughtless,-1
erring,-1
messy,-1
brooding,-1
ridiculous,-1
stringent,-1
worthless,-1
harebrained,-1
privy,-1
preposterous,-1
ludicrous,-1
austere,-1
impulsive,-1
aggressive,-1
unruly,-1
inquisitive,-1
prying,-1
insecure,-1
pompous,-1
vulgar,-1
strict,-1
arrogant,-1
sarcastic,-1
regimental,-1
outdated,-1
redundant,-1
superfluous,-1
extra,-1
unproductive,-1
complicated,-1
stagnant,-1
slothful,-1
boorish,-1
threatened,-1
contrite,-1
guilt-ridden,-1
stern,-1
threatening,-1
unreliable,-1
facetious,-1
overachieving,-1
indiscreet,-1
idle,-1
ungrateful,-1
distressful,-1
erratic,-1
uncaring,-1
disinterested,-1
unthinking,-1
short-sighted,-1
imbecile,-1
sophomoric,-1
infantile,-1
insulting,-1
pitiable,-1
stingy,-1
annoying,-1
convoluted,-1
grandiose,-1
despicable,-1
haughty,-1
impudent,-1
overconfident,-1
unethical,-1
turgid,-1
inflated,-1
possessive,-1
selfish,-1
oppressing,-1
procrastinator,-1
sloth,-1
obstinate,-1
rash,-1
unwise,-1
spaced-out,-1
deserter,-1
audacious,-1
self-pitying,-1
hideous,-1
lazy,-1
defector,-1
melancholic,-1
boring,-1
traitor,-1
untidy,-1
uncultured,-1
greedy,-1
foolhardy,-1
covetous,-1
conspiring,-1
listless,-1
dishonest,-1
defenseless,-1
proud,-1
desperate,-1
judgmental,-1
rumor-monger,-1
deplorable,-1
terrible,-1
vulnerable,-1
war-monger,-1
silly,-1
addicted,-1
mad,-1
asinine,-1
cunning,-1
unpardonable,-1
awful,-1
naã¯ve,-1
idiotic,-1
dense,-1
imploring,-1
nutty,-1
aimless,-1
helpless,-1
reckless,-1
misinformed,-1
inexperienced,-1
unsophisticated,-1
daredevil,-1
illiterate,-1
compulsive,-1
nonchalant,-1
superficial,-1
unschooled,-1
sly,-1
bossy,-1
gossiper,-1
capricious,-1
unbearable,-1
sneaky,-1
humorless,-1
snooping,-1
cocky,-1
smartaleck,-1
unappreciative,-1
confrontational,-1
unpredictable,-1
unlikable,-1
ill-mannered,-1
tactless,-1
mechanical,-1
thievish,-1
racist,-1
obnoxious,-1
insensitive,-1
self-righteous,-1
repetitive,-1
ingrate,-1
manipulative,-1
quarrelsome,-1
foolish,-1
snooty,-1
domineering,-1
high-handed,-1
argumentative,-1
defensive,-1
hoity-toity,-1
officious,-1
forgetful,-1
vindictive,-1
spiteful,-1
malicious,-1
brutal,-1
critical,-1
irresponsible,-1
surly,-1
bureaucratic,-1
underachieving,-1
self-important,-1
inefficient,-1
deficient,-1
shameful,-1
disgraceful,-1
lacking,-1
dishonorable,-1
guilt-stricken,-1
overreacting,-1
overbearing,-1
rude,-1
envious,-1
obsessive,-1
monotonous,-1
fearful,-1
libidinous,-1
mannerless,-1
paranoid,-1
antisocial,-1
impolite,-1
imperious,-1
careless,-1
disturbed,-1
disloyal,-1
nasty,-1
malignant,-1
ignorant,-1
difficult,-1
discouraging,-1
disorganized,-1
disruptive,-1
hostile,-1
abusive,-1
resentful,-1
perplexing,-1
one-sided,-1
opportunistic,-1
vain,-1
tasteless,-1
impatient,-1
intolerant,-1
jealous,-1
neglectful,-1
phlegmatic,-1
repressed,-1
miserable,-1
prejudiced,-1
snobbish,-1
unfriendly,-1
shallow,-1
violent,-1
self-centered,-1
uncooperative,-1
scornful,-1
placid,-1
liar,-1
irritable,-1
irate,-1
moody,-1
hasty,-1
dependent,-1
petty,-1
coarse,-1
bawd,-1
self-harming,-1
uneducated,-1
unglamorous,-1
unbecoming,-1
indecent,-1
wasteful,-1
conceited,-1
offensive,-1
uneconomical,-1
uncivilized,-1
lewd,-1
contemptible,-1
untruthful,-1
submissive,-1
docile,-1
uncouth,-1
unapologetic,-1
egocentric,-1
self-indulgent,-1
conniving,-1
scheming,-1
vile,-1
clingy,-1
show-off,-1
braggart,-1
unchaste,-1
unstable,-1
lascivious,-1
machiavellian,-1
distant,-1
subservient,-1
egoistic,-1
intimidating,-1
temperamental,-1
banal,-1
repulsive,-1
crass,-1
boastful,-1
frugal,-1
obtuse,-1
incompetent,-1
unskilled,-1
unnerving,-1
self-conscious,-1
mean,-1
weak,-1
wicked,-1
power-hungry,-1
inept,-1
hurtful,-1
outrageous,-1
melodramatic,-1
dismissive,-1
frivolous,-1
vengeful,-1
cold,-1
fanatical,-1
offhand,-1
corrupt,-1
awkward,-1
discomfited,-1
fraudster,-1
flippant,-1
fraudulent,-1
demanding,-1
nagging,-1
clumsy,-1
devious,-1
cruel,-1
bull-headed,-1
unreasonable,-1
impractical,-1
blasphemous,-1
unremarkable,-1
deceptive,-1
crooked,-1
crude,-1
gloomy,-1
foul-mouthed,-1
enervated,-1
hateful,-1
presumptuous,-1
spoilsport,-1
cynical,-1
dubious,-1
contemptuous,-1
evil,-1
meddlesome,-1
irreverent,-1
intrusive,-1
nosy,-1
condescending,-1
disdainful,-1
derisive,-1
demeaning,-1
crabby,-1
gnarly,-1
invasive,-1
hypocrite,-1
chauvinist,-1
patronizing,-1
slovenly,-1
pushy,-1
panicky,-1
passive,-1
ruthless,-1
bigot,-1
party-pooper,-1
withdrawn,-1
petulant,-1
over-critical,-1
discriminatory,-1
snappy,-1
huffy,-1
misleading,-1
aloof,-1
doubtful,-1
distrustful,-1
indifferent,-1
tense,-1
ambiguous,-1
uncertain,-1
interfering,-1
anxious,-1
frightful,-1
quick-tempered,-1
indolent,-1
sluggish,-1
apathetic,-1
nervous,-1
impetuous,-1
hot-headed,-1
rigid,-1
inhibited,-1
alcoholic,-1
controlling,-1
insistent,-1
killjoy,-1
cranky,-1
eccentric,-1
odd,-1
grumpy,-1
grouchy,-1
vicious,-1
stubborn,-1
mischievous,-1
immature,-1
childish,-1
confused,-1
blunt,-1
antagonistic,-1
disbelieving,-1
pretentious,-1
perverse,-1
dull,-1
callous,-1
belligerent,-1
indiscriminate,-1
condemnatory,-1
predatory,-1
harsh,-1
hesitant,-1
gullible,-1
irrational,-1
fussy,-1
unforgiving,-1
detached,-1
pathetic,-1
wallowing,-1
materialistic,-1
unsatisfied,-1
grim,-1
abrasive,-1
cantankerous,-1
extravagant,-1
unrealistic,-1
amoral,-1
dominating,-1
inflexible,-1
narrow-minded,-1
barbaric,-1
meek,-1
bland,-1
complaintive,-1
undiplomatic,-1
rowdy,-1
boisterous,-1
sordid,-1
uncharitable,-1
plodding,-1
sloppy,-1
obscure,-1
sketchy,-1
spoiled,-1
whiny,-1
imitative,-1
impressionistic,-1
slack,-1
worrywart,-1
copycat,-1
workaholic,-1
impersonal,-1
harried,-1
crafty,-1
disingenuous,-1
inert,-1
agitated,-1
stealthy,-1
astute,-1
debauched,-1
adamant,-1
dispiriting,-1
decadent,-1
insincere,-1
disconcerting,-1
dissolute,-1
escapist,-1
languid,-1
lethargic,-1
exaggerated,-1
showy,-1
profane,-1
nuisance,-1
sacrilegious,-1
impious,-1
heretical,-1
scandalous,-1
appalling,-1
disreputable,-1
backbiter,-1
slandering,-1
tale-bearing,-1
bitter,-1
narcissistic,-1
self-absorbed,-1
steely,-1
strong-willed,-1
morbid,-1
morose,-1
sinister,-1
nihilistic,-1
reactionary,-1
manic,-1
provocative,-1
unresponsive,-1
incongruous,-1
inappropriate,-1
inapt,-1
unfit,-1
unsuitable,-1
freak,-1
creepy,-1
deviant,-1
abnormal,-1
superstitious,-1
frenzied,-1
overexcited,-1
irascible,-1
testy,-1
provoking,-1
infuriating,-1
glum,-1
sadistic,-1
unrepentant,-1
sedentary,-1
inactive,-1
dormant,-1
stupid,-1
closed-minded,-1
flaky,-1
needy,-1
negative,-1
passive-aggressive,-1
procrastinating,-1
short-tempered,-1
suspicious,-1
unassertive,-1
weak-willed,-1
bigoted,-1
close-minded,-1
hypocritical,-1
unprincipled,-1
avoidant,-1
self-doubting,-1
addictive,-1
gluttonous,-1
hedonistic,-1
indulgent,-1
negligent,-1
obese,-1
unhealthy,-1
unkempt,-1
unsanitary,-1
unwell,-1
worn-out,-1
wretched,-1
unempathetic,-1
cowardy,-1
indecisive,-1
picky,-1
unrestrained,-1
imprudent,-1
opinionated,-1
hidebound,-1
complacent,-1
extreme,-1
dissonant,-1
money-minded,-1
disorderly,-1
miserly,-1
abrupt,-1
cowardly,-1
misguided,-1
secretive,-1
fixed,-1
brittle,-1
venomous,-1
venal,-1
pedantic,-1
bizarre,-1
fiery,-1
shortsighted,-1
conventional,-1
meretricious,-1
criminal,-1
fawning,-1
destructive,-1
natty,-1
conformist,-1
unctuous,-1
small-thinking,-1
narrow,-1
unpolished,-1
crazy,-1
troublesome,-1
charmless,-1
muddle-headed,-1
bewildered,-1
reactive,-1
vacuous,-1
mawkish,-1
discontented,-1
unreflective,-1
dirty,-1
loquacious,-1
fatalistic,-1
pugnacious,-1
artificial,-1
monstrous,-1
incurious,-1
mistaken,-1
softheaded,-1
frightening,-1
calculating,-1
uncreative,-1
colorless,-1
well-meaning,-1
airy,-1
graceless,-1
uncritical,-1
puritanical,-1
obvious,-1
expedient,-1
sanctimonious,-1
disturbing,-1
willful,-1
unconvincing,-1
undisciplined,-1
profligate,-1
single-minded,-1
regretful,-1
stiff,-1
agonizing,-1
distractible,-1
unimpressive,-1
oppressed,-1
unlovable,-1
unimaginative,-1
ruined,-1
dogmatic,-1
prim,-1
false,-1
disputatious,-1
fickle,-1
neurotic,-1
flamboyant,-1
faithless,-1
ritualistic,-1
excitable,-1
angry,-1
arbitrary,-1
vague,-1
one-dimensional,-1
disobedient,-1
fanciful,-1
arrogantt,-1
asocial,-1
astigmatic,-1
biosterous,-1
cantakerous,-1
delicate,-1
easily discouraged,-1
grand,-1
mealymouthed,-1
naive,-1
negativistic,-1
overimaginative,-1
pharissical,-1
quirky,-1
unself-critical,-1
wishful,-1
zany,-1
competitive,-1
fidgety,-1
fierce,-1
mysterious,-1
quick,-1
quiet,-1
rambunctious,-1
restless,-1
sassy,-1
strange,-1
talkative,-1
thriwy,-1
afraid,-1
aghast,-1
anguished,-1
annoyed,-1
apprehensive,-1
ashamed,-1
bombastic,-1
brash,-1
brazen,-1
busy,-1
cheap,-1
coercive,-1
combative,-1
dangerous,-1
dark,-1
depressed,-1
disgusted,-1
distressed,-1
dizzy,-1
embarrassed,-1
emotional,-1
empty,-1
enraged,-1
exacerbated,-1
ferocious,-1
filthy,-1
foul,-1
fragile,-1
frail,-1
frantic,-1
fretful,-1
frightened,-1
frustrated,-1
furious,-1
gratuitous,-1
grieving,-1
grotesque,-1
heartbroken,-1
hopeless,-1
horrible,-1
hurt,-1
immodest,-1
impossible,-1
incredulous,-1
indignant,-1
inferior,-1
infuriated,-1
jumpy,-1
lanky,-1
lonely,-1
lost,-1
melancholy,-1
monotone,-1
noisy,-1
obscene,-1
outraged,-1
overwhelmed,-1
overwrought,-1
overzealous,-1
phony,-1
poor,-1
prejudice,-1
provoked,-1
puzzled,-1
repulsed,-1
rough,-1
scared,-1
shaky,-1
sick,-1
skeptical,-1
sulky,-1
tacky,-1
terrified,-1
tiresome,-1
touchy,-1
troubled,-1
uneasy,-1
unhappy,-1
untrustworthy,-1
upset,-1
uptight,-1
volatile,-1
weary,-1
wild,-1
worried,-1
worrisome,-1
wrathful,-1
skinny,-1
overweight,-1
sickly,-1
authoritarian,-1
complex,-1
contradictory,-1
questioning,-1
frigid,-1
primitive,-1
addict,-1
affected,-1
gaudy,-1
giddy,-1
queer,-1
goofy,-1
anti-social,-1
recalcitrant,-1
gruesome,-1
gruff,-1
guilty,-1
hard,-1
reluctant,-1
repugnant,-1
heartless,-1
bad,-1
rhetorical,-1
homeless,-1
bored,-1
sad,-1
hysterical,-1
ill,-1
brutish,-1
savage,-1
scarred,-1
scary,-1
impotent,-1
caustic,-1
incoherent,-1
inconsistent,-1
cheerless,-1
self-serving,-1
senile,-1
close,-1
insipid,-1
shameless,-1
insolent,-1
interrupting,-1
irresolute,-1
sleazy,-1
irritating,-1
jackass,-1
jaded,-1
jittery,-1
snob,-1
sore,-1
sorry,-1
sour,-1
lackadaisical,-1
cross,-1
static,-1
cutthroat,-1
licentious,-1
limited,-1
strident,-1
deceiving,-1
defeated,-1
defective,-1
lowly,-1
lunatic,-1
demonic,-1
lying,-1
malice,-1
despondent,-1
devilish,-1
disaffected,-1
disagreeable,-1
tentative,-1
discouraged,-1
disgusting,-1
thankless,-1
disillusioned,-1
dismayed,-1
moping,-1
disparaging,-1
dissatisfied,-1
tired,-1
distraught,-1
naughty,-1
trivial,-1
draconian,-1
ugly,-1
dreary,-1
dumb,-1
uncontrolled,-1
undependable,-1
undesirable,-1
unfeeling,-1
embittered,-1
unfocused,-1
unhelpful,-1
unkind,-1
unmotivated,-1
unscrupulous,-1
evasive,-1
unsure,-1
exacting,-1
excessive,-1
unwilling,-1
overwhelming,-1
fake,-1
pensive,-1
warlike,-1
flagging,-1
flakey,-1
flashy,-1
fleeting,-1
pitiful,-1
flighty,-1
flirty,-1
flustered,-1
zealot,-1
hungry,-1
shocked,-1
disappointed,-1
cold-hearted,-1
spooked,-1
red-headed,-1
huried,-1
old-fashined,-1
stolid,-1
unpredicatable,-1
unreligious,-1
absent minded,-1
accident prone,-1
fuddy duddy,-1
afraid of commitment,-1
gives up easily,-1
quick tempered,-1
always hungry,-1
always late,-1
growly,-1
guilt ridden,-1
rejects change,-1
relents,-1
heavy hearted,-1
blames others,-1
biased,-1
hot headed,-1
self-controlling,-1
cold hearted,-1
sharp-tongued,-1
slow paced,-1
slutty,-1
soft-hearted,-1
cowering,-1
low confidence,-1
mentally slow,-1
mistrusting,-1
needs social approval,-1
dorky,-1
nit picker,-1
no purpose,-1
no self confidence,-1
not trustworthy,-1
nuanced,-1
orcish,-1
wishy washy,-1
plotting,-1
deceiveful,-1
disrespecful,-1
thristy,-1
antsy,-1
heated,-1
hypersensitive,-1
ostentatious,-1
perky,-1
persnickety,-1
quizzical,-1
raw,-1
scatterbrained,-1
uncontrollable,-1
underprivileged,-1
uninterested,-1
unrefined,-1
wacky,-1
wide-eyed,-1
disheveled,-1
plump,-1
absentminded,-1
droll,-1
impressionable,-1
preoccupied,-1
unambitious,-1
uninhibited,-1
unpatriotic,-1
promiscuous,-1
furtive,-1
psychotic,-1
puckish,-1
random,-1
apologetic,-1
reclusive,-1
guarded,-1
babbling,-1
babyish,-1
blowhard,-1
bratty,-1
ill-bred,-1
saucy,-1
immobile,-1
scattered,-1
scrawny,-1
scruffy,-1
sedate,-1
self-directed,-1
indiscrete,-1
closed,-1
sexual,-1
sheepish,-1
shiftless,-1
constricting,-1
contrarian,-1
small-minded,-1
coquettish,-1
coy,-1
kittenish,-1
stoical,-1
lordly,-1
sultry,-1
deranged,-1
taciturn,-1
uncoordinated,-1
egotistic,-1
unenthusiastic,-1
odious,-1
unreceptive,-1
unsympathetic,-1
unsystematic,-1
vacant,-1
faded,-1
voracious,-1
plucky,-1
xenophobic,-1
idiosyncratic,0
reserved,0
stylish,0
unhurried,0
lenient,0
wary,0
watchful,0
intense,0
vigilant,0
effeminate,0
noncommittal,0
heedful,0
unusual,0
androgynous,0
mellow,0
moralistic,0
free-wheeling,0
weird,0
low-profile,0
particular,0
impassive,0
conservative,0
political,0
guileless,0
expressionless,0
outspoken,0
solemn,0
pokerfaced,0
whimsical,0
familial,0
unruffled,0
restrained,0
composed,0
happy-go-lucky,0
easy-going,0
carefree,0
neutral,0
laid-back,0
keen,0
unmoved,0
unconcerned,0
instinctive,0
quixotic,0
discerning,0
straightforward,0
enigmatic,0
experimental,0
inconspicuous,0
average,0
ordinary,0
typical,0
replaceable,0
investigative,0
sleepy,0
tall,0
invisible,0
predictable,0
retiring,0
surprising,0
high,0
shifty,0
ornery,0
nature,0
vocal,0
consumed,0
germaphobic,0
never hungry,0
night owl,0
short,0
freckled,0
irreligious,0
squeamish,0
